PINN Sim | Step: 26100 | Ep: 1200 | Reward: -5.6967 | Mass: 1933.5
PINN Sim | Step: 26200 | Ep: 1204 | Reward: -4.1853 | Mass: 1991.8
PINN Sim | Step: 26300 | Ep: 1208 | Reward: -5.8339 | Mass: 1992.1
PINN Sim | Step: 26400 | Ep: 1211 | Reward: -9.4534 | Mass: 1982.0
PINN Sim | Step: 26500 | Ep: 1215 | Reward: 0.6692 | Mass: 2001.3
PINN Sim | Step: 26600 | Ep: 1219 | Reward: -1.5952 | Mass: 1966.4
PINN Sim | Step: 26700 | Ep: 1222 | Reward: -2.5830 | Mass: 1915.2
PINN Sim | Step: 26800 | Ep: 1226 | Reward: -2.6535 | Mass: 1993.0
PINN Sim | Step: 26900 | Ep: 1228 | Reward: -6.8921 | Mass: 1934.3
PINN Sim | Step: 27000 | Ep: 1232 | Reward: -4.5751 | Mass: 1988.1
PINN Sim | Step: 27100 | Ep: 1235 | Reward: -4.5071 | Mass: 1951.2
PINN Sim | Step: 27200 | Ep: 1240 | Reward: -1.2700 | Mass: 1990.9
PINN Sim | Step: 27300 | Ep: 1243 | Reward: -5.2142 | Mass: 1972.3
PINN Sim | Step: 27400 | Ep: 1247 | Reward: 1.8967 | Mass: 1997.3
PINN Sim | Step: 27500 | Ep: 1249 | Reward: -9.7950 | Mass: 1941.9
PINN Sim | Step: 27600 | Ep: 1253 | Reward: -6.9309 | Mass: 1986.2
PINN Sim | Step: 27700 | Ep: 1257 | Reward: -7.7276 | Mass: 1955.7
PINN Sim | Step: 27800 | Ep: 1261 | Reward: -6.4890 | Mass: 1945.6
PINN Sim | Step: 27900 | Ep: 1264 | Reward: -1.8831 | Mass: 1992.1
PINN Sim | Step: 28000 | Ep: 1267 | Reward: -10.0000 | Mass: 1891.1
PINN Sim | Step: 28100 | Ep: 1272 | Reward: -0.9246 | Mass: 1995.5
PINN Sim | Step: 28200 | Ep: 1274 | Reward: -6.0646 | Mass: 1971.6
PINN Sim | Step: 28300 | Ep: 1278 | Reward: -3.2592 | Mass: 1966.8
PINN Sim | Step: 28400 | Ep: 1282 | Reward: 2.6291 | Mass: 2000.1
PINN Sim | Step: 28500 | Ep: 1285 | Reward: -3.8754 | Mass: 1998.4
PINN Sim | Step: 28600 | Ep: 1287 | Reward: -5.1004 | Mass: 1951.0
PINN Sim | Step: 28700 | Ep: 1292 | Reward: 1.4665 | Mass: 1999.0
PINN Sim | Step: 28800 | Ep: 1295 | Reward: -4.3131 | Mass: 1987.0
PINN Sim | Step: 28900 | Ep: 1298 | Reward: -6.3120 | Mass: 1938.9
